Page Title,Page Views,Page Path
Blue Lantern Inn,62,/listing/blue-lantern-inn/22/
Golden Galleon Boutique,62,/listing/golden-galleon-boutique/60/
Jon's Fish Market,62,/listing/jons-fish-market/75/
"Best Year-Round Whale Watching | Dana Point, California",61,/includes/plugins/nav/preview_civs/
Gallery Dana Bay,61,/listing/gallery-dana-bay/306/
Dana Point Is All About Family Fun,60,/blog/post/dana-point-is-all-about-family-fun/
Little Folk Club,58,/event/little-folk-club/735/
AVEO Table + Bar,58,/listing/aveo-table-+-bar/10/
404,57,/activities-and-things-to-do/dana-point-lantern-district/
Listing,56,/listing/salt-creek-beach/245/
Hop On Safari,55,/listing/hop-on-safari/337/
Catalina Island Day Trip,54,/blog/post/catalina-island-day-trip/
Date Day or Night in Dana Point,54,/blog/post/date-day-or-night-in-dana-point/
Waterman's Plaza,54,/listing/watermans-plaza/359/
Offers - Visit Dana Point,52,/includes/plugins/nav/preview_civs/
Lantern Bay Park,52,/listing/lantern-bay-park/80/
"Festival of Whales in Dana Point, CA",51,/includes/plugins/nav/preview_civs/
Dana Point Marina Inn,51,/listing/dana-point-marina-inn/46/
Listing,50,/listing/capistrano-beach/26/
Coffee Importers Scoop Deck & Deli,50,/listing/coffee-importers-scoop-deck-&-deli/37/
OverVue Lounge & Deck,50,/listing/overvue-lounge-&-deck/100/
"The Ritz-Carlton Spa, Laguna Niguel",50,/listing/the-ritz-carlton-spa-laguna-niguel/141/
Cars & Coffee on the Wharf,49,/event/cars-&-coffee-on-the-wharf/722/
Luxe Restaurant & Martini Bar,49,/listing/luxe-restaurant-&-martini-bar/86/
404,48,/events/list/
Bar RAYA,48,/listing/bar-raya/12/
Listing,47,/listing/dana-point-harbor/42/
Luciana's Ristorante,47,/listing/lucianas-ristorante/84/
Cheers to BEER in Dana Point!,46,/blog/post/cheers-to-beer-in-dana-point/
Valentine's Day Dinner at Salt Creek Grille,46,/event/valentines-day-dinner-at-salt-creek-grille/741/
Listing,46,/listing/blufftop-trail/268/
Aloha Stacks,45,/listing/aloha-stacks/124/
Capistrano SurfSide Inn,45,/listing/capistrano-surfside-inn/231/
Coastal Kitchen,45,/listing/coastal-kitchen/36/
Glasspar Seafood,45,/listing/glasspar-seafood/262/
Dana Point Harbor is worth a visit!,44,/blog/post/dana-point-harbor-is-worth-a-visit/
Doheny Bike,44,/listing/doheny-bike/300/
Sawdust Art Festival,44,/listing/sawdust-art-festival/266/
Spring Break in Dana Point,43,/blog/post/spring-break-in-dana-point/
404,43,/events/category/beach-events/map/
"""Dana Point: Southern California's Dreamy Low-Key Beach Town""",42,/blog/post/dana-point-southern-californias-dreamy-low-key-beach-town/
Casa Romantica Cultural Center and Gardens,42,/listing/casa-romantica-cultural-center-and-gardens/232/
Jimmy's Famous American Tavern,42,/listing/jimmys-famous-american-tavern/74/
Listing,42,/listing/the-ritz-carlton-laguna-niguel/140/
Westwind Sailing,42,/listing/westwind-sailing/259/
Romance by the Coast: Valentine's Day in Dana Point,41,/blog/post/romance-by-the-coast-valentines-day-in-dana-point/
404,41,/event/ribbon-cutting:-the-white-rooster/740/
Craft House,41,/listing/craft-house/39/
Outlets at San Clemente,41,/listing/outlets-at-san-clemente/242/
Pure Watersports,41,/listing/pure-watersports/44/
Out of Office: Make Dana Point Your Conference Room,40,/includes/plugins/nav/preview_civs/
The Point Restaurant & Bar,40,/listing/the-point-restaurant-&-bar/185/
Sitemap,40,/sitemap/
"Dana Point Events | Festivals, Live Music & Coastal Celebrations",39,/events/
The Top 6 Things To Do In Dana Point,39,/includes/plugins/nav/preview_civs/
Louise Leyden Park,39,/listing/louise-leyden-park/83/
Monarch Beach Golf Links,38,/listing/monarch-beach-golf-links/95/
"The Spa at the Ritz-Carlton, Laguna Niguel",38,/listing/the-spa-at-the-ritz-carlton-laguna-niguel/141/
Privacy Policy,38,/privacy-policy/
404,37,/events/map/
Killer Dana Surf Shop,37,/listing/killer-dana-surf-shop/77/
404,36,/events/category/beach-events/list/
Dana Point's History of Authenticity,36,/includes/plugins/nav/preview_civs/
Get Out on The Water,35,/blog/post/get-out-on-the-water/
404,35,/events/2025-07-21/
404,35,/events/tag/parade/list/
Listing,35,/listing/waldorf-astoria-monarch-beach-resort-&-club/96/
Young's Beach Shack,35,/listing/youngs-beach-shack/317/
Happy Harbor Days,34,/event/happy-harbor-days/698/
Truly Pizza,34,/listing/truly-pizza/330/
California Wine Festival,33,/event/california-wine-festival/753/
Surfing Heritage & Cultural Center,33,/listing/surfing-heritage-&-cultural-center/234/
Pedego Electric Bikes,32,/listing/pedego-electric-bikes/180/
"Hiking in Dana Point | Scenic Trails, Bluffs & Ocean Views",32,/things-to-do/onshore-activities/hiking/
404,31,/events/2025-07-19/
Raise your glass to a curated Wine Tasting.,30,/event/raise-your-glass-to-a-curated-wine-tasting/748/
Whisky & Wagyu VIII,30,/event/whisky-&-wagyu-viii/749/
Aliso & Wood Canyons Regional Park,30,/listing/aliso-&-wood-canyons-regional-park/4/
Listing,30,/listing/catalina-express/165/
Left Coast Sportfishing,30,/listing/left-coast-sportfishing/313/
Salt Creek Grille Orange County,30,/listing/salt-creek-grille-orange-county/114/
Dana Point Hiking and Walking Trails,29,/blog/post/dana-point-hiking-and-walking-trails/
404,29,/event/mothers-day-english-garden-brunch-buffet/
404,29,/events/month/
Dana Point Is All About Family Fun,29,/includes/plugins/nav/preview_civs/
Olamendi's Mexican Restaurant,29,/listing/olamendis-mexican-restaurant/169/
404,28,/event/christmas-dinner-at-the-ritz-carltons-raya/
404,28,/event/mothers-day-brunch-buffet/
404,28,/event/new-years-eve-celebration-at-laguna-cliffs-marriott/
404,28,/event/valentines-day-dinner-at-lanterns-edge/
Cheers to BEER in Dana Point!,28,/includes/plugins/nav/preview_civs/
Dana Point Restaurants | Dining,28,/includes/plugins/nav/preview_civs/
Discover Self-Care & Wellness in Dana Point: Your Ultimate Coastal Escape,28,/includes/plugins/nav/preview_civs/
Board of Directors (BOD) | Visit Dana Point,28,/meet-the-team/board-meetings-agendas/
Coffee Chat,27,/event/coffee-chat/734/
New Years Eve Celebration: The Waldorf Astoria Monarch Beach Resort & Club,27,/event/new-years-eve-celebration:-the-waldorf-astoria-monarch-beach-resort-&-club/710/
Listing,27,/listing/180blu/2/
404,26,/event/valentines-day-at-waldorf-astorias-aveo-table-bar/2025-02-15/
404,26,/events/2025-07-17/
Listing,26,/listing/hilton-garden-inn-dana-point-doheny-beach/54/
The District Salon,26,/listing/the-district-salon/188/
Business Listing Request,26,/meet-the-team/business-listing-request/
404,26,/weather/
404,25,/events/2025-07-07/
404,25,/events/2025-07-29/
404,25,/events/2025-08-02/
A Guide to Dana Point's Beaches,25,/includes/plugins/nav/preview_civs/
Listing,25,/listing/doheny-state-beach/239/
FALL in love with Dana Point!,24,/blog/post/fall-in-love-with-dana-point/
404,24,/event/new-years-eve-dinner-in-raya-at-the-ritz-carlton/
404,24,/events/2025-07-11/
404,24,/events/2025-07-16/
404,24,/events/category/beach-events/map/page/2/
404,24,/events/category/beach-events/month/
Festival of Arts & Pageant of the Masters,24,/listing/festival-of-arts-&-pageant-of-the-masters/263/
404,23,/event/fathers-day-happenings-at-the-waldorf-astoria-monarch-beach/
404,23,/events/2025-07-22/
404,23,/events/2025-07-25/
404,23,/events/2025-07-30/
About Visit Dana Point - Visit Dana Point,23,/includes/plugins/nav/preview_civs/
Listing,23,/includes/plugins/nav/preview_civs/
Valentine’s Day in Dana Point: Romantic Getaways & Dining,23,/includes/plugins/nav/preview_civs/
Listing,23,/listing/the-spa-at-the-ritz-carlton-laguna-niguel/141/
404,23,/series/the-ritz-carltons-chit-chaat-chai/
404,22,/event/dana-point-trolley-hop-80s-totally-tubular/
404,22,/event/moms-muffins-mothers-day-cruise/
404,22,/event/mothers-day-brunch-harbor-cruise-with-capt-daves/
404,22,/events/2025-07-20/
404,22,/events/2025-07-23/
404,22,/events/2025-08-03/
Dana Point Harbor is worth a visit!,22,/includes/plugins/nav/preview_civs/
It's Festival Season in Dana Point!,22,/includes/plugins/nav/preview_civs/
post,22,/includes/plugins/nav/preview_civs/
Listing,22,/listing/girl-in-the-curl-surf-shop-&-surfing-school/59/
Project Social,22,/listing/project-social/272/
Dana Point Neighbors Sights and Stops,21,/blog/post/dana-point-neighbors-sights-and-stops/
404,21,/event/
404,21,/event/dana-point-harbor-holiday-lights/
404,21,/event/fathers-day-lunch-harbor-cruise-with-capt-daves/
404,21,/events/2025-07-24/
404,21,/events/2025-07-28/
Bourbon Steak Orange County,21,/listing/bourbon-steak-orange-county/128/
Bruster's Ice Cream,21,/listing/brusters-ice-cream/291/
Dana Point Historical Society Museum,21,/listing/dana-point-historical-society-museum/297/
Whitestone Restaurant & Bar,21,/listing/whitestone-restaurant-&-bar/151/
404,21,/organizer/western-surfing-association/
404,21,/series/starry-nights-at-lanterns-edge/
404,20,/blog/post/dana-point-hiking-and-walking-trails/
Dana Point's Local Business Spotlight: Golden Galleon Boutique,20,/blog/post/dana-points-local-business-spotlight-golden-galleon-boutique/
"""How a Little-Known California Surf Town Hopes to Win Over Luxury Tourists""",20,/blog/post/how-a-little-known-california-surf-town-hopes-to-win-over-luxury-tourists/
Harbor After Dark,20,/event/harbor-after-dark/699/
404,20,/events/2025-06-30/
404,20,/events/2025-07-01/
404,20,/events/2025-07-09/
404,20,/events/2025-07-12/
Get Out on The Water,20,/includes/plugins/nav/preview_civs/
Hobie Surf Shop,20,/listing/hobie-surf-shop/67/
What a Dish Café & Catering | It's All About the Cake,20,/listing/what-a-dish-café-&-catering-|-its-all-about-the-cake/154/
404,20,/series/parents-night-out-summer-fun/
404,20,/series/valentines-day-dinner-at-the-ritz-carlton-laguna-niguels-raya/
Dana Point Trolley | Free Coastal Transportation & Stops,19,/dana-point-trolley/
50th Annual Boat Parade of Lights,19,/event/50th-annual-boat-parade-of-lights/457/
404,19,/event/california-uncorked-bourbon-steak-orange-county/
404,19,/events/2025-07-15/
"""Family Getaway to Dana Point""",19,/includes/plugins/nav/preview_civs/
Listing,19,/listing/coastal-explorer-usa/371/
Monarch Beach Golf Links,19,/venue/club-19-at-monarch-beach-golf-links/
404,18,/>nt.com<https:/visitdanapoint.com/>/
404,18,/activities-and-things-to-do/whale-watching/
Raya Easter Brunch,18,/event/raya-easter-brunch/744/
404,18,/events/2025-07-03/
404,18,/events/2025-07-06/
404,18,/events/2025-07-18/
404,18,/events/tag/parade/map/
404,18,/listing/dana-point-certified-farmers-market/41/
404,18,/listing/el-caminate-bar-&-bungalows/302/
Listing,18,/listing/headlands-conservation-area-trail-system/283/
Knott's Berry Farm,18,/listing/knotts-berry-farm/251/
Listing,18,/listing/the-beachfront-inn-&-suites/230/
The Historic Schooner Curlew Charters,18,/listing/the-historic-schooner-curlew-charters/328/
Listing,18,/listing/westwind-sailing/259/
404,18,/organizer/dana-outrigger-canoe-club/
Young's Beach Shack,18,/restaurants-dining/youngs-beach-shack/
404,18,/venue/glasspar/
404,18,/venue/raya-at-the-ritz-carlton-laguna-niguel/
404,17,/event/dana-point-citywide-scavenger-hunt/
404,17,/events/2025-07-02/
404,17,/events/2025-07-13/
404,17,/events/2025-07-14/
404,17,/events/category/family-events/summary/
404,17,/getting-around-dana-point/
Dana Point Neighbors Sights and Stops,17,/includes/plugins/nav/preview_civs/
Art Sea,17,/listing/art-sea/208/
Listing,17,/listing/longboard-rooftop-lounge/97/
Thank You,17,/newsletter/thank-you/
Tee Times at Monarch Beach Golf Links,16,/blog/post/4738-2/
Discover Self-Care & Wellness in Dana Point: Your Ultimate Coastal Escape,16,/blog/post/discover-self-care-wellness-in-dana-point/
404,16,/events/2025-07-08/
10 Free Things to Do in Dana Point,16,/includes/plugins/nav/preview_civs/
Best Coffee Shops in Dana Point,16,/includes/plugins/nav/preview_civs/
Spring Break in Dana Point,16,/includes/plugins/nav/preview_civs/
Summer Activities in Dana Point,16,/includes/plugins/nav/preview_civs/
A's Burgers,16,/listing/as-burgers/7/
Aventura Sailing Association,16,/listing/aventura-sailing-association/9/
Best Friends Art Gallery,16,/listing/best-friends-art-gallery/265/
Listing,16,/listing/chart-house-restaurant/32/
Dana Point Charters Sailing Adventures,16,/listing/dana-point-charters-sailing-adventures/296/
Listing,16,/listing/hop-on-safari/337/
iHeartYoga,16,/listing/iheartyoga/224/
Listing,16,/listing/overvue-lounge-&-deck/100/
Proud Mary's Restaurant,16,/listing/proud-marys-restaurant/106/
Listing,16,/listing/pure-watersports/44/
Turk's Restaurant & Bar,16,/listing/turks-restaurant-&-bar/148/
Thank You,15,/contact-us/thank-you/
404,15,/discover/dining/
404,15,/event/boat-rides-with-santa/2023-12-02/
404,15,/event/dana-west-youth-sailing-camp/2025-11-11/
404,15,/event/speaker-series-guardians-of-the-coast-meet-the-first-responders-who-answer-the-call/
404,15,/events/tag/dana-point-harbor/list/
Disneyland® Park & Disney California Adventure®,15,/listing/disneyland®-park-&-disney-california-adventure®/250/
Fashion Island,15,/listing/fashion-island/240/
Harbor House Cafe,15,/listing/harbor-house-cafe/63/
Hennessey's Tavern,15,/listing/hennesseys-tavern/308/
Listing,15,/listing/monarch-bay-beach-club/93/
Taikun Omakase,15,/listing/taikun-omakase/350/
Waldorf Astoria Spa,15,/listing/waldorf-astoria-spa/358/
Plan,15,/plan-your-trip/
Longboard Rooftop Lounge,15,/restaurants-dining/longboard-rooftop-lounge/
404,15,/series/concerts-in-the-park-2/
404,15,/series/dana-west-youth-sailing-camp/
404,14,/2016/12/16/hot-cocktails-doubletree-doheny-beach/
404,14,/2017/01/04/food-wine-experience-features-top-chefs/
"Best Year-Round Whale Watching | Dana Point, California",14,/activities-and-things-to-do/dana-point-whale-watching/
Health & Wellness | Dana Point Spas | Dana Point Yoga,14,/activities-and-things-to-do/spa-wellness/
4 Ways to Improve Your Health & Wellness Around Dana Point This Year,14,/blog/post/4-ways-to-improve-your-health-around-dana-point-this-year/
404,14,/blog/post/celebrate-the-4th-of-july-in-dana-point/
404,14,/event/breakfast-with-santa-at-the-ritz-carlton/517/
404,14,/event/oc-parks-summer-concert-series/
404,14,/event/ocean-encounters/2025-12-06/
404,14,/event/par-3-shootout/
404,14,/events/tag/valentines-day/list/
Listing,14,/listing/aveo-table-+-bar/10/
Bonjour Cafe & Bistro,14,/listing/bonjour-cafe-&-bistro/23/
Casanova Ristorante,14,/listing/casanova-ristorante/31/
Listing,14,/listing/festival-of-arts-&-pageant-of-the-masters/263/
Frisby Cellars Winery,14,/listing/frisby-cellars-winery/305/
Clean Juice Dana Point,14,/restaurants-dining/clean-juice/
Best Beaches in Dana Point,13,/activities-and-things-to-do/dana-point-beaches/
Out of Office: Make Dana Point Your Conference Room,13,/blog/post/out-of-office-make-dana-point-your-conference-room/
404,13,/business-directory/3249/gift-chateau/
404,13,/category/media/
404,13,/event/4th-of-july-fireworks-2025/
404,13,/event/55th-annual-festival-of-whales/738/1/0100019ca1e97a61-e2bf58b7-00b8-4ffc-8893-4a988d7b182a-000000/ou6723p75mbbmwlwg6t0zzyp78zpj2err12shncjl0g=446/
404,13,/event/easter-at-monarch-bay-beach-club/
404,13,/event/galentines-day-dinner-at-the-ritz-carlton-laguna-niguel/
404,13,/event/ocean-institutes-founders-day/
404,13,/event/the-ritz-carltons-chef-dinner-farm-to-table/
404,13,/events/2025-07-04/
404,13,/events/2025-08-01/
404,13,/events/category/beach-events/day/2025-12-31/
Best Beaches in Dana Point,13,/includes/plugins/nav/preview_civs/
Dana Point News & Media | Visit Dana Point,13,/includes/plugins/nav/preview_civs/
33 North,13,/listing/33-north/3/
Carmelita's,13,/listing/carmelitas/332/
Good Choice Sushi By the Sea,13,/listing/good-choice-sushi-by-the-sea/167/
Listing,13,/listing/jons-fish-market/75/
Listing,13,/listing/salt-creek-trail/248/
The Chocolate Soldier,13,/listing/the-chocolate-soldier/136/
Vida Organic Wellness,13,/listing/vida-organic-wellness/356/
404,13,/restaurants-dining/scoop-deck-ice-cream-shop/
404,13,/series/2025-seaside-sessions-live-music-series/
404,13,/series/camp-cliffs-kids-club-summer-camp/
404,13,/series/junior-summer-sailing-program/
404,13,/venue/24200-dana-point-harbor-dr/
404,13,/venue/34174-pacific-coast-hwy/
404,13,/what-to-do/legoland/
404,12,/category/around-dana-point/
404,12,/event/aveo-tablebar-easter-dining/
404,12,/event/cars-coffee-on-the-wharf/2026-01-24/
404,12,/event/dana-point-boat-parade-of-lights/2025-12-14/
404,12,/event/dana-point-festival-of-whales-3/2024-03-01/
404,12,/event/dana-point-lantern-district-car-motorcycle-show/
Flight Club Wine Tasting: Ridge Vineyards,12,/event/flight-club-wine-tasting:-ridge-vineyards/733/
404,12,/event/holiday-songs-&-seasonal-stories-by-pacific-vocal-series/704/
404,12,/event/live-entertainment-overvue-lounge/2019-05-24/
404,12,/event/modern-makers-mart-4/
404,12,/event/monarchs-master-of-illusions/
404,12,/event/orange-county-sunset-wine-cruise/2023-03-03/
404,12,/events/category/beach-events/day/2025-10-24/
404,12,/events/tag/parade/month/
404,12,/events/tag/parade/summary/
Clean Juice Dana Point,12,/listing/clean-juice-dana-point/293/
Listing,12,/listing/craft-house/39/
Listing,12,/listing/doheny-bike/300/
Listing,12,/listing/doheny-surf/53/
El Caminate Bar & Bungalows,12,/listing/el-caminate-bar-&-bungalows/302/
KAHANI,12,/listing/kahani/286/
Le Saint Honoré,12,/listing/le-saint-honoré/340/
Listing,12,/listing/mission-san-juan-capistrano/261/
Listing,12,/listing/monarch-beach-golf-links/95/
Synaptic Cycles,12,/listing/synaptic-cycles/324/
Wildflower Flowers + Gifts,12,/listing/wildflower-flowers-+-gifts/325/
404,12,/restaurants-dining/brio-tuscany-grille/
"Festival of Whales in Dana Point, CA",12,/series/dana-point-festival-of-whales/
404,12,/tag/yoga/
404,12,/what-to-do/white-lotus-day-spa/
Dana Point's Local Business Spotlight: Organic Tree,11,/blog/post/dana-points-local-business-spotlight-organic-tree/
404,11,/event/2025-seaside-sessions-live-music-series/2025-07-17/
404,11,/event/2025-seaside-sessions-live-music-series/692/
404,11,/event/camp-cliffs-kids-club-summer-camp/720/
404,11,/event/d-yoder-family-sundays-battle-of-the-bands/
404,11,/event/dana-west-youth-sailing-camp/2025-12-08/
404,11,/event/easter-breakfast-at-club-19/
Flight Club Wine Tasting: South America,11,/event/flight-club-wine-tasting:-south-america/731/
404,11,/event/junior-summer-sailing-program/2025-07-21/
404,11,/event/memorial-day-ceremony/
404,11,/event/modern-makers-mart:-holiday-edition/423/
404,11,/event/orange-county-sunset-wine-cruise/2023-12-08/
404,11,/event/palm-tree-festival/
404,11,/event/starry-nights-at-lanterns-edge/
404,11,/event/sup-yoga-3/2019-09-14/
404,11,/event/visit-dana-point-board-of-directors-meeting/2025-02-12/
404,11,/events/2025-07-10/
404,11,/events/2025-07-26/
404,11,/events/category/beach-events/day/2025-11-11/
404,11,/events/category/beach-events/day/2025-12-12/
404,11,/events/tag/dana-wharf/list/
404,11,/events/virtual-maritime-festival/
Blog,11,/includes/plugins/nav/preview_civs/
Business Listing Request,11,/includes/plugins/nav/preview_civs/
Angel Beauty Haus,11,/listing/angel-beauty-haus/287/
aPizza Doho,11,/listing/apizza-doho/288/
BarVino Wine + Cheese,11,/listing/barvino-wine-+-cheese/331/
Bon Appetit,11,/listing/bon-appetit/372/
Listing,11,/listing/bourbon-steak-orange-county/128/
Listing,11,/listing/brusters-ice-cream/291/
